# nr dr E0_cm E1_cm E2_cm E3_cm E4_cm E5_cm E6_cm E7_cm E8_cm E9_cm E10_cm E11_cm E12_cm E13_cm E14_cm E15_cm E16_cm
1000 0.024024024024 -185.978310155 -166.302360545 -147.838493835 -130.582282657 -114.527191374 -99.6643844166 -85.9822471324 -73.4660407959 -62.0974234557 -51.8538941185 -42.7083135962 -34.6282336932 -27.5754180535 -21.505228846 -16.3661859443 -12.0996027712 -8.63943296945
2000 0.0120060030015 -185.978300443 -166.302335278 -147.838437795 -130.58214214 -114.526969947 -99.6640278386 -85.981777424 -73.46544113 -62.096714699 -51.8530963527 -42.7074459565 -34.6273333492 -27.5745400079 -21.5043882108 -16.3653960357 -12.0989131915 -8.63883351673
4000 0.00600150037509 -185.97829831 -166.302337231 -147.838426779 -130.582139422 -114.526939284 -99.6640096397 -85.9817354106 -73.465415665 -62.0966694463 -51.8530524375 -42.7073861228 -34.6272786186 -27.5744730017 -21.5043298061 -16.3653478532 -12.0988767498 -8.63881021935
