# columns:
# 1 L
# 2 T
# 3 J
# 4 E_per_spin
# 5 <m>
# 6 <|m|>
# 7 <m^2>
# 8 <m^4>
# 9 chi
# 10 binder
# 11 acceptance
5 1.0000000000 1.0000000000 -1.9968800000 0.9992080000 0.9992080000 0.9984832000 0.9972118159 0.0016643184 0.6665853819 0.0007320000
5 1.5000000000 1.0000000000 -1.9499440000 0.9861560000 0.9861560000 0.9741740800 0.9543852790 0.0278403944 0.6647804513 0.0136640000
5 1.8000000000 1.0000000000 -1.8608560000 0.6514040000 0.9571000000 0.9240934400 0.8740096041 0.1118476389 0.6588360173 0.0412540000
5 1.9000000000 1.0000000000 -1.8064240000 -0.1995560000 0.9366760000 0.8914515200 0.8261409812 0.1853893556 0.6534727024 0.0585760000
5 2.0000000000 1.0000000000 -1.7526000000 0.0119000000 0.9162080000 0.8591635200 0.7801969644 0.2465802592 0.6476848294 0.0774420000
5 2.1000000000 1.0000000000 -1.6815040000 0.0329280000 0.8870160000 0.8153843200 0.7203706716 0.3403206636 0.6388313406 0.1026740000
5 2.1500000000 1.0000000000 -1.6384960000 -0.0820440000 0.8681480000 0.7880768000 0.6852163666 0.3999517453 0.6322358532 0.1182960000
5 2.1750000000 1.0000000000 -1.6172720000 0.1819840000 0.8574760000 0.7736268800 0.6679770522 0.4409401083 0.6279706649 0.1254680000
5 2.2000000000 1.0000000000 -1.5978640000 0.0383440000 0.8512280000 0.7630124800 0.6519590441 0.4366292275 0.6267190930 0.1333120000
5 2.2250000000 1.0000000000 -1.5823840000 0.0527080000 0.8451040000 0.7539027200 0.6402299802 0.4460893167 0.6245223147 0.1387720000
5 2.2500000000 1.0000000000 -1.5465360000 0.0843880000 0.8250480000 0.7287193600 0.6119098900 0.5335017522 0.6158988543 0.1519880000
5 2.2750000000 1.0000000000 -1.5369440000 -0.0243960000 0.8247600000 0.7251334400 0.6041654866 0.4934547516 0.6169999852 0.1553660000
5 2.3000000000 1.0000000000 -1.5164560000 0.0301640000 0.8137600000 0.7101740800 0.5866617917 0.5213993739 0.6122632954 0.1644620000
5 2.3250000000 1.0000000000 -1.4822320000 -0.1173120000 0.7982400000 0.6897100800 0.5628929434 0.5647632516 0.6055686708 0.1761400000
5 2.3500000000 1.0000000000 -1.4588800000 0.0049200000 0.7863200000 0.6744467200 0.5456877015 0.5973146553 0.6001219024 0.1858080000
5 2.3750000000 1.0000000000 -1.4324400000 -0.0398480000 0.7725640000 0.6566476800 0.5258041958 0.6293952200 0.5935211396 0.1961280000
