0 1.25
1 0.625
2 0.3125000000000001
3 0.15625
4 0.07812500000000001
5 0.03906250000000002
6 0.01953125000000001
7 0.009765625000000007
8 0.004882812500000004
9 0.002441406250000002
10 0.001220703125000001
11 0.0006103515625000007
12 0.0003051757812500004
13 0.0001525878906250002
14 7.629394531250012e-05
15 3.814697265625007e-05
16 1.907348632812503e-05
17 9.53674316406252e-06
18 4.76837158203126e-06
19 2.384185791015631e-06
20 1.192092895507815e-06
21 5.960464477539079e-07
22 2.980232238769539e-07
23 1.49011611938477e-07
24 7.450580596923852e-08
25 3.725290298461927e-08
26 1.862645149230963e-08
27 9.313225746154817e-09
28 4.656612873077408e-09
29 2.328306436538704e-09
30 1.164153218269352e-09
31 5.82076609134676e-10
32 2.91038304567338e-10
33 1.45519152283669e-10
34 7.27595761418345e-11
35 3.637978807091725e-11
36 1.818989403545863e-11
37 9.094947017729313e-12
38 4.547473508864657e-12
39 2.273736754432328e-12
40 1.136868377216164e-12
41 5.684341886080821e-13
42 2.84217094304041e-13
43 1.421085471520205e-13
44 7.105427357601026e-14
45 3.552713678800513e-14
46 1.776356839400256e-14
47 8.881784197001282e-15
48 4.440892098500641e-15
49 2.220446049250321e-15
50 1.11022302462516e-15
51 5.551115123125801e-16
52 2.775557561562901e-16
53 1.38777878078145e-16
54 6.938893903907252e-17
55 3.469446951953626e-17
56 1.734723475976813e-17
57 8.673617379884065e-18
58 4.336808689942032e-18
59 2.168404344971016e-18
60 1.084202172485508e-18
61 5.42101086242754e-19
62 2.71050543121377e-19
63 1.355252715606885e-19
64 6.776263578034426e-20
65 3.388131789017213e-20
66 1.694065894508606e-20
67 8.470329472543032e-21
68 4.235164736271516e-21
69 2.117582368135758e-21
70 1.058791184067879e-21
71 5.293955920339395e-22
72 2.646977960169697e-22
73 1.323488980084849e-22
74 6.617444900424243e-23
75 3.308722450212119e-23
76 1.654361225106055e-23
77 8.271806125530186e-24
78 4.135903062764916e-24
79 2.067951531382106e-24
80 1.033975765690348e-24
81 5.169878828437632e-25
82 2.584939414190604e-25
83 1.292469707038878e-25
84 6.462348534065917e-26
85 3.231174264776009e-26
86 1.615587127874106e-26
87 8.077935549092565e-27
88 4.03896759399035e-27
89 2.019483435883311e-27
90 1.009740995717926e-27
91 5.048690534115048e-28
92 2.524316378108358e-28
93 1.262100411155847e-28
94 6.309346497812605e-29
95 3.152362132973038e-29
96 1.57155883461999e-29
97 7.76534953576936e-30
98 3.697785493223505e-30
99 1.479114197289402e-30
